ONSEN,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80
AT1TE12295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3157894736842106,1.3888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.3333333333333333,0.0,5.775294117647059,7.740666666666667,9.047692307692307,2.380714285714286,0.0,0.0,0.0,0.0,3.1755555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4705882352941178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1TE24850,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16625,0.0,0.0,6.25,0.0,5.555,0.0,0.0,0.0,0.0,9.26,10.334,2.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1TE59755,2.272727272727273,0.0,0.0,0.0,0.0,2.0833333333333335,0.0,0.0,0.0,1.8522222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3329999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6659999999999995,0.0,0.0,0.0,1.2823076923076924,0.0,0.0,3.125,0.0,0.0,1.3891666666666669,1.5625,20.0,7.142857142857143,2.7777777777777777,25.0,6.25,0.0,0.0,2.0833333333333335,12.5,0.0,8.333333333333334,8.333333333333334,0.0,12.5,19.44333333333333,16.666666666666668,10.833,0.0,0.0,4.166666666666667,7.638333333333333,1.4705882352941178,0.0,1.6666666666666667,43.75,66.66571428571429,48.95875,10.714285714285714,0.0,17.423636363636362,13.88888888888889,75.0,14.5825,11.11,6.6659999999999995,13.331999999999999,16.665,7.142857142857143,10.606363636363637,43.05666666666667
AT1TE71045,0.9615384615384616,1.1907142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9526666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,18.694,16.587777777777777,0.0,3.174285714285714,11.222,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,3.6363636363636362,0.0,4.82,5.082307692307692,32.05153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615384615384616,0.0,0.0,1.1111111111111112,0.0,0.0,0.8405882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0207142857142857,0.0,0.0,0.0
AT3TE54550,18.3625,13.555000000000001,20.87923076923077,24.181111111111115,25.06857142857143,36.515454545454546,16.575384615384614,11.147272727272725,17.8725,24.604444444444443,26.041249999999998,22.02375,17.2625,17.9175,25.698666666666668,12.500555555555557,26.290000000000003,25.457692307692305,14.394545454545455,12.5,26.06153846153846,17.436153846153847,10.606363636363637,0.0,34.60333333333333,12.599999999999998,77.77666666666666,16.66777777777778,9.524117647058823,16.6675,28.473333333333333,0.0,26.11111111111111,11.217692307692307,9.875555555555556,30.29444444444444,16.59090909090909,8.42,8.965625,11.75375,10.645833333333334,6.5975,8.4825,9.795454545454545,7.783846153846154,3.5261538461538464,10.192307692307692,19.59769230769231,7.783846153846154,12.815999999999999,16.37461538461539,7.050666666666667,7.468181818181818,21.276923076923076,1.8516666666666666,8.531764705882354,18.92388888888889,15.393333333333333,5.92142857142857,20.238181818181815,13.322352941176472,13.254000000000001,4.921111111111111,14.235833333333332,9.107142857142858,5.417,11.555333333333332,31.530833333333334,16.99090909090909,5.185555555555556,25.18444444444444,6.585625,4.188888888888888,4.700769230769231,10.094999999999999,5.833333333333333,0.0,0.0,4.1675,21.86090909090909
AT3TE89830,0.0,0.0,0.0,6.665999999999999,8.443999999999999,11.66625,0.0,67.70875000000001,52.501666666666665,34.074444444444445,57.407777777777774,54.58375,39.25777777777778,4.0,6.666666666666667,2.6666666666666665,3.3333333333333335,2.857142857142857,0.0,1.5384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,3.703333333333333,1.9230769230769231,0.0,0.0,2.0833333333333335,0.0,1.6666666666666667,0.0,1.7857142857142858,6.547142857142857,12.87909090909091,4.901764705882353,31.945000000000004,18.333125000000003,34.04714285714285,33.332857142857144,20.23857142857143,12.307692307692308,27.776666666666667,22.776666666666667,0.0,11.110833333333332,6.66625,35.0,6.153846153846154,10.0,12.5,8.3325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.041875,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3TE92525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3888888888888888,0.0,3.703333333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,2.7775,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.9090909090909091,1.5625,1.1111111111111112,0.0,0.0,3.8461538461538463,2.7775,26.333999999999996,10.332999999999998,3.48,0.0,5.612857142857142,2.5646153846153847,2.0372222222222223,1.8522222222222224,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5TE15240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.703333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,58.334,34.375,33.333333333333336,23.333333333333332,15.475714285714286,18.939090909090908,22.223333333333333,25.0,15.74,34.52428571428572,3.125,3.5714285714285716,6.25,0.0,9.524285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1TE12295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0556666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869565217391304,0.8064516129032258,1.6665714285714286,0.0,0.0,0.0,0.0,0.5103571428571428,0.0,0.0,0.0,0.625,1.5,0.47633333333333333,7.369090909090908,9.648333333333333,7.087692307692308,1.38875,0.0,1.149310344827586,1.7542105263157894,0.0,2.9766666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7352941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1TE24850,0.0,0.0,1.3441935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9230769230769231,0.6495454545454545,0.0,1.8516666666666666,0.0,0.0,1.7857142857142858,0.9261111111111112,1.9605882352941175,0.0,1.8522222222222224,0.0,2.575909090909091,9.700000000000001,26.05476190476191,11.915217391304349,7.5005,0.7938888888888889,2.97625,2.0832142857142855,0.5953571428571429,0.0,1.1764705882352942,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
