ONSEN,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80,bin_81,bin_82,bin_83,bin_84,bin_85,bin_86,bin_87,bin_88,bin_89,bin_90,bin_91,bin_92,bin_93,bin_94,bin_95,bin_96,bin_97,bin_98,bin_99,bin_100
AT1TE12295,0,0,0,0,0.0,0,0,0,0.0,86.60499999999999,90.2075,93.64999999999999,95.0,0.0,86.26272727272728,64.7325,71.43,67.22333333333334,77.78,63.335,0.0,83.33500000000001,72.78,69.64428571428572,19.285,56.25,100.0,0.0,67.78,94.445,94.7225,86.25,88.89,73.89,0.0,0.0,66.67,88.89,87.5,0.0,0.0,84.445,0.0,71.43,55.92666666666667,92.5,83.89,0.0,0.0,92.19357142857143,77.70599999999999,71.25,88.89,0.0,88.49833333333333,0.0,70.0,0.0,76.1925,61.905,74.40333333333332,0.0,50.0,0.0,65.0,58.265,70.0,0.0,0.0,66.67,0.0,88.89,60.0,55.55666666666667,11.11,0.0,58.125,0.0,77.112,72.225,60.0,79.9885714285714,73.732,57.145,75.002,0.0,71.984,62.5,48.14666666666667,78.57,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
AT1TE24850,0,0,0,0,91.6675,0,0,0,91.07,0.0,91.785,0.0,67.5,91.845,83.72999999999999,84.25,92.58875,0.0,86.90333333333332,0.0,90.06454545454545,82.667,8.888333333333334,71.11,79.1675,0.0,78.86749999999999,91.4275,90.04272727272729,86.66714285714285,84.5225,53.4375,0.0,89.5825,70.83333333333333,95.53500000000001,0.0,0.0,77.77666666666666,95.23777777777778,0.0,71.25,77.77666666666666,0.0,63.49333333333334,83.33500000000001,87.5,92.85714285714286,89.667,0.0,0.0,96.70611111111111,91.5175,78.52,100.0,88.89,83.33333333333333,0.0,95.0,85.334,73.88833333333334,86.834,0.0,0.0,66.67,76.11250000000001,80.00111111111111,88.89,0.0,0.0,85.41666666666667,0.0,90.0,64.26,75.46333333333334,76.66666666666667,0.0,72.91666666666667,0.0,85.1375,70.83500000000001,77.476,77.15444444444444,72.36166666666666,79.46333333333332,75.286,52.97666666666667,84.02833333333334,23.333333333333332,75.0,86.90333333333332,0,0,0,0.0,0.0,0.0,0.0,0,0.0
AT1TE59755,0,0,0,0,0.0,0,0,0,71.425,69.44333333333333,68.81,85.51666666666667,0.0,81.50083333333332,74.31,69.64333333333333,82.5,0.0,85.765,0.0,73.14666666666666,75.0,67.0153846153846,31.48,87.5,0.0,53.57,0.0,71.91636363636363,70.318,87.3,60.88166666666667,0.0,100.0,45.235,85.71428571428571,0.0,0.0,77.78000000000002,76.666,0.0,69.64333333333333,78.24,85.714,82.045,0.0,88.79666666666667,79.0675,83.33500000000001,92.59333333333332,87.5,77.78,0.0,77.78,78.45285714285714,87.5,81.85166666666667,0.0,0.0,0.0,83.57,74.40714285714286,73.14999999999999,0.0,87.5,77.5,0.0,86.94399999999999,83.334,72.816,0.0,85.398,0.0,92.59333333333332,85.55625,87.97625,84.89333333333333,87.20166666666667,90.47625,85.89555555555556,82.77666666666666,92.389,66.16857142857143,54.38875,88.89,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,86.16,74.70125,81.97285714285714,87.5,0,88.66782608695652
AT1TE71045,0,0,0,0,0.0,0,0,0,0.0,0.0,95.23666666666666,58.73333333333333,79.8,94.70777777777776,92.85499999999999,75.92666666666668,89.67999999999999,83.81,84.47285714285714,91.66666666666667,91.07166666666667,94.53363636363635,0.0,87.5,66.03333333333335,0.0,74.81,91.77,87.0,0.0,55.0,68.75,0.0,37.5,93.75,89.48857142857142,93.75,81.25,0.0,0.0,60.0,0.0,81.25,0.0,68.14818181818181,0.0,91.90333333333332,86.66666666666667,91.11166666666668,94.37941176470588,0.0,95.83333333333333,89.60222222222222,87.5,0.0,94.642,0.0,92.2025,0.0,0.0,0.0,95.83333333333333,88.88666666666666,88.89,0.0,100.0,91.25,91.07,90.40400000000001,90.0,0.0,79.16666666666667,0.0,94.44333333333333,90.47333333333331,93.25333333333333,76.07,100.0,0.0,91.66666666666667,0.0,96.29666666666667,94.83999999999999,89.98,96.97000000000001,95.36999999999999,0.0,88.89,95.92555555555555,100.0,94.44333333333333,0,0,0,0.0,0.0,0.0,0.0,0,0.0
AT3TE54550,0,0,0,0,0.0,0,0,0,0.0,83.0925,71.25,91.94375,75.0,0.0,76.13,95.8325,78.275,65.58363636363636,0.0,0.0,69.44333333333333,0.0,76.19083333333334,72.36357142857142,0.0,61.63499999999999,0.0,43.6325,0.0,100.0,91.22916666666667,75.35499999999999,75.1775,72.9175,0.0,70.0,68.75,100.0,0.0,0.0,0.0,86.66624999999999,0.0,89.54545454545455,0.0,91.66624999999999,88.48454545454545,87.5,0.0,82.083125,85.0,0.0,85.0,92.8575,75.71416666666666,0.0,33.035,0.0,58.63125,90.47571428571428,0.0,0.0,65.475,0.0,78.005,67.44062500000001,69.37375,59.919999999999995,57.2025,67.8575,0.0,83.75,88.83875,71.666875,0.0,70.625,67.7075,0.0,91.38916666666667,69.42,74.79124999999999,84.37625,70.95285714285714,88.9275,66.82909090909091,0.0,86.5625,60.95166666666666,14.5825,91.02625,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
AT3TE89830,0,0,0,0,0.0,0,0,0,0.0,76.1875,87.25999999999999,89.34375,87.67750000000001,0.0,88.9275,91.5657894736842,78.63,69.94,90.475,80.565,84.5825,0.0,92.25999999999999,82.25999999999999,90.33666666666666,46.965,74.16624999999999,78.69,0.0,72.61749999999999,95.8325,78.57083333333334,89.6425,83.9275,82.61875,0.0,0.0,71.84375,0.0,79.345,0.0,0.0,80.35499999999999,84.12583333333333,0.0,81.6375,85.715,92.85499999999999,89.6225,88.09249999999999,97.22166666666665,94.52333333333334,87.738,81.6075,88.68749999999999,93.88833333333332,87.90299999999999,0.0,90.8325,0.0,81.40833333333333,76.9325,88.75,0.0,66.6675,0.0,80.8325,72.61812499999999,80.94999999999999,58.335,0.0,0.0,41.9025,0.0,65.1775,80.60636363636364,64.5825,0.0,72.62,91.4275,0.0,89.300625,85.29625,100.0,0.0,63.75,88.259375,41.785,36.667500000000004,81.9042857142857,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
AT3TE92525,0,0,0,0,0.0,0,0,0,0.0,0.0,96.875,89.5825,94.69727272727273,96.97000000000001,0.0,91.66727272727273,100.0,95.41624999999999,93.33375000000001,95.0,93.33375000000001,100.0,0.0,83.80857142857143,0.0,85.4175,96.66666666666667,89.79124999999999,80.0,0.0,95.0,0.0,0.0,91.13,79.65363636363637,90.3057142857143,0.0,81.16,0.0,72.22333333333334,72.70428571428572,77.08333333333333,0.0,91.66499999999999,0.0,90.74375,0.0,93.9275,90.0,91.15714285714286,94.417,0.0,86.80499999999999,88.4225,90.83375000000001,81.6675,88.75,87.5,87.167,0.0,0.0,93.75,86.875,77.1725,0.0,0.0,88.71875,84.525,85.1775,90.13833333333332,91.66499999999999,75.0,0.0,83.3325,77.5,65.8325,93.33363636363637,88.48454545454545,0.0,77.5,0.0,82.8575,89.72250000000001,72.9175,91.25,95.0,0.0,95.0,74.5825,85.1925,79.75999999999999,0,0,0,0.0,0.0,0.0,0.0,0,0.0
AT5TE15240,0,0,0,0,0.0,0,0,0,0.0,0.0,100.0,75.0,85.39666666666666,90.20285714285714,76.19,98.4375,100.0,87.5,90.20875000000001,97.5,91.66666666666667,95.0,0.0,87.5,83.33500000000001,0.0,81.25125,77.08500000000001,88.89,0.0,59.519999999999996,69.05000000000001,0.0,72.225,94.33142857142856,96.29666666666667,0.0,60.415,0.0,100.0,81.48333333333333,90.47599999999998,0.0,95.23666666666666,0.0,84.37583333333333,0.0,100.0,86.11,93.75,89.278,0.0,83.334,96.666,93.80799999999999,70.0,60.0,81.6675,75.3575,0.0,0.0,82.14333333333333,0.0,80.55666666666667,0.0,0.0,55.417500000000004,100.0,100.0,97.22250000000001,0.0,91.66666666666667,0.0,100.0,65.83500000000001,81.9042857142857,96.52749999999999,100.0,0.0,67.22333333333334,0.0,97.91624999999999,91.66666666666667,87.22166666666665,95.15181818181819,96.21181818181817,0.0,98.21375,83.33285714285714,91.66666666666667,90.1775,0,0,0,0.0,0.0,0.0,0.0,0,0.0
