ONSEN,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80,bin_81,bin_82,bin_83,bin_84,bin_85,bin_86,bin_87,bin_88,bin_89,bin_90,bin_91,bin_92,bin_93,bin_94,bin_95,bin_96,bin_97,bin_98,bin_99,bin_100
AT1TE12295,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,68.89,98.14833333333333,97.5,93.3725,0.0,97.87444444444444,96.81833333333333,97.22333333333334,92.666,90.55666666666667,80.23666666666666,0.0,97.22333333333334,90.0,84.9309090909091,31.11,64.54666666666667,96.96999999999998,0.0,80.30333333333333,100.0,84.675,87.36166666666668,88.63666666666666,90.444,0.0,0.0,98.485,88.89,90.55666666666667,0.0,0.0,91.66714285714286,100.0,92.9175,56.11333333333334,97.9175,92.82857142857142,0.0,0.0,98.03941176470589,85.47571428571429,90.47666666666667,100.0,0.0,94.091,0.0,85.0,0.0,84.86099999999999,74.61333333333333,82.0825,0.0,82.83,0.0,75.39666666666666,78.12500000000001,77.22166666666666,0.0,0.0,62.557500000000005,0.0,85.645,87.49833333333333,90.313,51.25,0.0,82.02285714285715,0.0,86.27727272727272,89.89833333333333,80.60666666666667,83.4725,81.11125,85.97428571428573,74.6525,0.0,85.31727272727272,82.19636363636363,42.59666666666667,91.47749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
AT1TE24850,0.0,0.0,0.0,0.0,100.0,0,0,0,95.48625,0.0,95.98777777777778,0.0,85.0,96.52799999999999,84.445,96.42857142857143,93.57142857142857,0.0,86.6675,0.0,86.66727272727273,93.556,44.285714285714285,76.515,95.455,0.0,74.1675,80.8325,88.89,91.55857142857143,72.9175,74.60285714285715,0.0,64.205,74.44333333333333,86.668,0.0,0.0,76.0625,88.4309090909091,0.0,78.7875,88.89,0.0,72.22333333333334,66.67,87.5,95.23857142857142,87.501,0.0,0.0,90.625,87.976,92.5,75.0,100.0,91.25,0.0,81.945,100.0,68.75,100.0,0.0,0.0,77.5,100.0,93.5188888888889,85.86,0.0,0.0,81.00200000000001,0.0,88.89,89.85000000000001,86.668,83.33333333333333,0.0,80.83500000000001,0.0,98.70142857142856,100.0,77.77666666666666,98.18199999999999,97.5,93.334,90.834,88.89,92.08375000000001,90.0,84.762,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
AT1TE59755,0.0,0.0,0.0,0.0,0.0,0,0,0,67.72749999999999,97.72749999999999,86.66624999999999,93.195,0.0,90.3785,94.166,68.52,91.66666666666667,0.0,88.1825,0.0,83.33500000000001,63.335,71.34909090909092,61.10999999999999,85.55666666666667,0.0,66.67,0.0,86.45875000000001,95.0,83.33,70.70833333333334,0.0,81.11,59.26,97.61857142857143,0.0,0.0,100.0,80.4175,0.0,78.33333333333333,86.66499999999999,98.334,94.04714285714284,0.0,95.08736842105263,83.33333333333333,96.96999999999998,90.0,98.334,96.4275,0.0,50.0,86.58142857142857,84.52,75.0,0.0,85.41499999999999,0.0,95.8325,91.66666666666667,82.2925,0.0,86.11,48.75,0.0,89.2375,96.112,83.33500000000001,0.0,73.14999999999999,0.0,87.5,95.51181818181819,84.74777777777778,90.47499999999998,90.27666666666666,88.29444444444445,84.16666666666667,73.49,80.3788888888889,73.94,72.87833333333333,63.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.66666666666667,89.97142857142858,91.34142857142857,96.875,0,96.97000000000001
AT1TE71045,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,97.91666666666667,67.62,80.75500000000001,92.74666666666667,86.90333333333332,85.61500000000001,94.445,98.14833333333333,94.78428571428572,95.83333333333333,96.065,100.0,0.0,81.25,79.63,0.0,96.666,92.75,100.0,0.0,69.72333333333334,84.92,0.0,100.0,91.66499999999999,83.14777777777778,100.0,100.0,0.0,0.0,100.0,0.0,91.66666666666667,0.0,100.0,0.0,77.78000000000002,88.89,91.11166666666668,92.55533333333332,0.0,89.5825,89.28571428571429,94.44500000000001,0.0,81.0,0.0,71.94500000000001,0.0,0.0,0.0,100.0,80.0,80.0,0.0,83.81,73.928,90.47666666666667,88.535,84.97,0.0,66.66666666666667,0.0,70.83333333333333,51.43,75.50818181818182,35.913333333333334,100.0,0.0,83.33500000000001,0.0,86.1125,97.2225,97.61833333333334,91.09777777777778,93.78222222222222,0.0,88.89,95.57714285714285,100.0,94.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
AT3TE54550,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,53.333333333333336,82.22333333333334,85.334,82.22333333333334,0.0,83.94,100.0,53.333333333333336,85.74111111111111,0.0,0.0,93.33333333333333,0.0,84.07333333333332,72.91624999999999,0.0,53.33500000000001,0.0,83.33333333333333,0.0,84.52,90.0,91.66499999999999,79.96,81.90333333333332,0.0,86.11,70.71333333333332,88.33333333333333,0.0,0.0,0.0,82.49916666666667,0.0,81.875,0.0,100.0,76.48111111111112,77.78000000000002,0.0,95.83375000000001,95.83333333333333,0.0,93.33333333333333,100.0,85.0,0.0,100.0,0.0,65.55666666666667,91.66666666666667,0.0,0.0,75.55666666666667,0.0,95.0,88.0957142857143,70.0,87.5,87.5,10.0,0.0,83.33500000000001,83.33500000000001,88.334,0.0,75.0,100.0,0.0,100.0,85.4175,100.0,91.6675,85.4175,75.0,88.334,0.0,81.25,79.16666666666667,41.665,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
AT3TE89830,66.66666666666667,0.0,50.0,75.0,0.0,0,0,0,0.0,95.83500000000001,100.0,95.4175,95.455,100.0,93.03,98.47250000000001,85.70666666666666,63.335,86.38833333333332,100.0,95.0,100.0,100.0,75.0,100.0,40.0,96.48166666666667,87.5,100.0,77.77666666666666,93.75,86.11166666666668,100.0,86.90333333333332,93.334,80.55666666666667,100.0,71.142,87.5,91.875,0.0,62.5,90.0,97.5,0.0,79.16666666666667,100.0,100.0,97.77799999999999,90.0,93.33333333333333,92.1425,90.0,85.18666666666667,92.2225,81.38833333333334,95.0,100.0,87.5,100.0,96.875,61.00999999999999,100.0,0.0,92.0,83.33500000000001,79.16666666666667,90.9375,80.83333333333333,71.25,0.0,100.0,83.33333333333333,100.0,90.8325,77.22166666666666,85.332,0.0,95.8325,50.79,58.335,95.83375000000001,96.0,100.0,0.0,95.83333333333333,89.667,83.33333333333333,25.0,96.666,93.75,33.33,0.0,100.0,0.0,0.0,0.0,0.0,0,0.0
AT3TE92525,0.0,0.0,0.0,70.83500000000001,0.0,0,0,0,0.0,0.0,100.0,100.0,100.0,95.83375000000001,83.33500000000001,90.27833333333332,88.89,94.44500000000001,95.8325,83.33500000000001,95.23857142857142,88.5425,70.83500000000001,82.14285714285714,80.55666666666667,75.0,97.22166666666665,92.85714285714286,100.0,33.33,82.0,88.89,100.0,86.875,92.85499999999998,96.4275,75.0,93.75,100.0,100.0,91.66666666666667,96.42857142857143,0.0,38.88666666666666,60.0,91.66692307692308,0.0,88.334,100.0,97.5,100.0,81.25,88.334,97.22166666666665,95.83333333333333,100.0,100.0,93.334,94.28571428571429,100.0,0.0,100.0,89.16666666666667,100.0,0.0,100.0,100.0,81.25,100.0,100.0,86.6675,100.0,91.66666666666667,96.42857142857143,100.0,100.0,93.33333333333333,94.44500000000001,87.5,89.334,92.5,76.666,73.334,88.89,100.0,96.667,83.33500000000001,95.0,92.167,93.18181818181819,100.0,91.66499999999999,91.6675,100.0,100.0,0.0,0.0,0.0,0,0.0
AT5TE15240,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,95.455,76.39,78.1825,96.25,97.22333333333334,80.49857142857142,93.94,93.0,85.27,91.11,91.66499999999999,91.36375,0.0,71.51666666666667,83.33,0.0,77.69444444444444,84.725,83.33,0.0,71.82,55.555,0.0,48.335,82.95625000000001,90.455,0.0,79.16499999999999,0.0,81.48333333333333,85.0375,85.8125,0.0,75.60666666666667,0.0,94.50899999999999,0.0,89.205,86.36500000000001,90.5,92.52,0.0,94.19333333333333,93.63666666666666,95.55499999999999,72.728,45.45,89.332,82.955,0.0,0.0,95.245,0.0,79.875,0.0,0.0,68.89,70.79333333333334,87.40125,92.82666666666667,0.0,93.52,0.0,92.59333333333332,72.22333333333334,71.84,87.003,93.03500000000001,0.0,86.11,0.0,92.39999999999999,82.14333333333333,82.63833333333334,89.60666666666667,90.86444444444444,0.0,87.13666666666666,87.665,95.83333333333333,76.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
