ONSEN,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80,bin_81,bin_82,bin_83,bin_84,bin_85,bin_86,bin_87,bin_88,bin_89,bin_90,bin_91,bin_92,bin_93,bin_94,bin_95,bin_96,bin_97,bin_98,bin_99,bin_100
AT1TE12295,0.0,0,0,0,0,0,0,0.0,0.0,81.49333333333333,65.83500000000001,0.0,56.385,62.052499999999995,100.0,23.335,0.0,64.39666666666666,78.03,16.665,0.0,0.0,40.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,69.12666666666667,58.335,0.0,31.665,0.0,0.0,0.0,0.0,57.855000000000004,0.0,0.0,33.43333333333333,27.5,17.5,0.0,58.7675,0.0,0.0,0.0,90.83500000000001,37.620000000000005,16.665,42.223333333333336,0.0,63.89,0.0,47.223333333333336,0.0,78.89,40.7575,0.0,0.0,0.0,0,79.49000000000001,47.2,41.27,0.0,0.0,0.0,0,0.0,0.0,60.260000000000005,42.565,0.0,32.90333333333333,0.0,65.064,37.379999999999995,69.66999999999999,0.0,65.0,50.0,58.0175,0.0,50.0,27.6925,0.0,50.505,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AT1TE24850,0.0,0,0,0,0,0,0,70.265,59.855000000000004,0.0,57.41,0.0,71.32,100.0,0.0,74.245,61.705,0.0,24.285,0.0,0.0,40.0,0.0,0.0,0.0,42.095,0.0,0.0,53.4725,52.085,0.0,19.645,0.0,0.0,0.0,50.0,0.0,0.0,14.68,39.282,46.44,0.0,0.0,0.0,43.91,10.715,0.0,67.71000000000001,59.135,51.697500000000005,0.0,59.775,44.78375,43.487500000000004,44.8725,44.230000000000004,0.0,0.0,20.085,81.82,24.35,37.144999999999996,0.0,0,0.0,34.6225,30.419999999999998,47.725,0.0,0.0,0,0.0,0.0,75.0,45.8,23.775,24.545,27.27,0.0,62.806666666666665,23.08,47.22,0.0,43.2675,29.925,66.67,0.0,47.57,0.0,68.33500000000001,0.0,0,0,0,0.0,0.0,0,0.0,0.0,67.78
AT1TE59755,12.5,0,0,0,0,0,0,0.0,37.57,6.2075,0.0,3.3333333333333335,6.666666666666667,0.0,48.332499999999996,0.0,9.696666666666667,0.0,7.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.36333333333333,20.0,0.0,17.5,0.0,0.0,0.0,14.29,0.0,0.0,0.0,9.225,0.0,3.57,30.5575,33.33,41.665,0.0,73.33333333333333,16.538,28.3825,26.553999999999995,34.545,0.0,5.0,41.115,73.86500000000001,11.535,31.11,0.0,0.0,0.0,14.5825,24.7725,20.27,0,0.0,0.0,0.0,56.35,0.0,41.1075,0,21.11,0.0,17.5,69.44666666666667,26.015,0.0,16.665,22.22,36.8575,0.0,26.826666666666664,0.0,16.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,59.26,23.596666666666664,0,27.776666666666667,22.776666666666667,100.0
AT1TE71045,0.0,0,0,0,0,0,0,0.0,0.0,0.0,70.83,0.0,0.0,43.272000000000006,0.0,33.33,0.0,45.55666666666667,0.0,41.67,18.335,70.45333333333333,0.0,21.43,18.18,0.0,36.905,0.0,67.5,0.0,0.0,0.0,0.0,7.145,32.5,27.36,30.74,0.0,0.0,0.0,0.0,0.0,47.9375,0.0,54.165,0.0,33.333333333333336,59.425,39.00833333333333,29.723333333333333,0.0,69.05000000000001,45.55499999999999,47.72666666666667,0.0,29.165,0.0,21.245,0.0,0.0,0.0,31.665,0.0,0,0.0,36.36,0.0,0.0,43.24,0.0,0,0.0,24.3175,0.0,0.0,0.0,25.755,0.0,0.0,23.335,0.0,55.18666666666667,83.33,43.75,90.0,0.0,96.29666666666667,50.3475,0.0,79.445,84.8025,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AT3TE54550,47.620000000000005,0,0,0,0,0,0,0.0,0.0,50.0,35.832499999999996,0.0,12.5,14.405,25.0,0.0,0.0,25.0,6.25,0.0,6.25,0.0,32.22,0.0,0.0,0.0,11.0225,0.0,0.0,0.0,14.506666666666666,0.0,12.7,7.145,0.0,0.0,0.0,15.0,0.0,0.0,0.0,6.25,0.0,17.4225,0.0,43.75,16.072499999999998,16.235,0.0,30.636000000000003,18.308333333333334,0.0,3.7699999999999996,29.165,0.0,0.0,4.5825,0.0,0.0,10.0,0.0,0.0,0.0,0,10.555,18.3325,15.0,0.0,0.0,0.0,0,0.0,45.835,28.4075,0.0,0.0,9.09,0.0,28.75,9.165,16.665,0.0,12.5,18.634999999999998,18.3325,0.0,8.75,11.25,0.0,7.145,0.0,0,0,0,3.125,0.0,0,46.925,0.0,0.0
AT3TE89830,0.0,0,0,0,0,0,0,0.0,0.0,67.36999999999999,33.5325,0.0,30.745,0.0,56.942499999999995,91.66499999999999,25.0,0.0,29.542499999999997,47.725,13.245000000000001,0.0,0.0,33.035,0.0,0.0,0.0,58.120000000000005,26.13,0.0,0.0,52.1225,14.285,0.0,24.445,0.0,0.0,0.0,0.0,37.605,0.0,0.0,0.0,21.23,0.0,3.57,51.28,77.2925,49.337500000000006,76.925,0.0,58.332499999999996,41.144999999999996,38.0075,14.29,33.93,0.0,0.0,33.4475,0.0,71.43,13.9275,0.0,0,0.0,0.0,35.915000000000006,31.5975,56.25,0.0,0,0.0,0.0,0.0,69.32,0.0,42.315,0.0,26.44,8.845,0.0,57.10166666666667,28.205,44.230000000000004,0.0,0.0,31.331666666666667,0.0,54.94500000000001,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,33.335
AT3TE92525,0.0,0,0,0,0,0,0,0.0,0.0,0.0,67.275,0.0,45.92666666666667,77.78,0.0,65.0,72.22,85.0,0.0,94.155,29.165,55.75666666666666,0.0,17.5,0.0,50.0,77.78,90.0,0.0,0.0,0.0,0.0,0.0,26.490000000000002,42.589999999999996,66.67,0.0,0.0,0.0,0.0,40.385,77.5,0.0,50.0,0.0,39.39,0.0,63.87166666666666,58.778,57.14333333333334,58.333333333333336,0.0,63.64,100.0,72.62,0.0,30.68,45.45,56.312,0.0,0.0,95.0,0.0,0,0.0,0.0,67.85499999999999,0.0,71.43,62.32333333333333,0,0.0,67.48,0.0,0.0,0.0,0.0,38.885,0.0,48.75,0.0,81.745,77.97333333333331,0.0,66.66499999999999,87.5,89.67999999999999,67.25999999999999,0.0,67.1125,81.05,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AT5TE15240,12.145,0,0,0,0,0,0,0.0,0.0,0.0,81.55000000000001,0.0,0.0,64.75166666666667,0.0,73.36,0.0,63.7175,0.0,58.175,41.82,76.602,0.0,43.59,35.894999999999996,0.0,68.995,89.285,0.0,0.0,0.0,0.0,0.0,0.0,54.16833333333333,68.0575,0.0,0.0,0.0,0.0,51.85333333333333,87.85499999999999,0.0,47.81333333333333,0.0,73.86500000000001,0.0,56.446000000000005,59.47,55.33166666666667,83.33333333333333,0.0,61.540000000000006,70.0,80.9525,0.0,21.59,54.9425,42.4225,0.0,0.0,42.86,0.0,0,0.0,0.0,57.275,0.0,76.49000000000001,59.34,0,0.0,23.810000000000002,0.0,0.0,0.0,28.57,0.0,0.0,28.63,0.0,73.68,55.0,58.525,95.455,77.17999999999999,0.0,70.02333333333333,0.0,75.93666666666667,87.34,0,0,0,0.0,0.0,0,0.0,0.0,0.0
