ONSEN,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80,bin_81,bin_82,bin_83,bin_84,bin_85,bin_86,bin_87,bin_88,bin_89,bin_90,bin_91,bin_92,bin_93,bin_94,bin_95,bin_96,bin_97,bin_98,bin_99,bin_100
AT1TE12295,0.0,0,0,0,0,0,0,0.0,0.0,0.0,55.295,0.0,0.0,0.0,0.0,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,0.0,37.5,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AT1TE24850,0.0,0,0,0,0,0,0,91.66666666666667,62.1425,0.0,63.75,0.0,58.7675,100.0,0.0,88.89,66.2025,0.0,43.18,0.0,0.0,25.0,0.0,0.0,0.0,53.18333333333334,0.0,0.0,54.98666666666666,36.665,0.0,25.895,0.0,0.0,0.0,64.425,0.0,0.0,12.5,38.49166666666667,63.295,0.0,0.0,0.0,47.776666666666664,20.0,0.0,64.285,47.915,61.667500000000004,0.0,63.333333333333336,42.461666666666666,40.2775,43.75,50.0,0.0,0.0,31.665,75.0,27.775,60.0,0.0,0,0.0,23.61,18.990000000000002,54.165,0.0,0.0,0,0.0,0.0,100.0,50.0,12.5,45.835,28.57,0.0,52.085,14.29,45.835,0.0,80.42333333333333,33.33,60.0,0.0,40.2375,0.0,77.78,0.0,0,0,0,0.0,0.0,0,0.0,0.0,55.56
AT1TE59755,20.0,0,0,0,0,0,0,0.0,32.144999999999996,45.535,0.0,0.0,18.75,0.0,76.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,20.0,0.0,0.0,48.61,11.11,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,49.36666666666667,60.0,26.665,0.0,69.30999999999999,22.22,17.5,26.11,0.0,0.0,15.835,25.0,0.0,0.0,14.29,0.0,0.0,0.0,19.645,19.959999999999997,25.0,0,0.0,0.0,0.0,0.0,0.0,18.75,0,25.0,0.0,22.22,24.656666666666666,35.276666666666664,0.0,32.22,22.22,36.92333333333333,0.0,25.3475,0.0,36.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,61.47,24.36,0,19.31,38.83,96.43
AT1TE71045,0.0,0,0,0,0,0,0,0.0,0.0,0.0,71.43,0.0,0.0,48.34166666666667,0.0,61.805,0.0,63.333333333333336,0.0,33.33,43.75,48.858000000000004,0.0,41.965,21.43,0.0,52.2725,0.0,77.08500000000001,0.0,0.0,0.0,0.0,3.57,38.095,38.215,18.75,0.0,0.0,0.0,0.0,0.0,53.86,0.0,47.22,0.0,38.723333333333336,40.0,34.306666666666665,51.3875,0.0,57.275,57.835,51.25,0.0,17.79,0.0,18.362499999999997,0.0,0.0,0.0,33.635,0.0,0,0.0,28.205,0.0,0.0,43.88833333333333,0.0,0,0.0,41.5475,0.0,0.0,0.0,72.22,0.0,0.0,31.11,0.0,68.75,75.0,66.67,83.33,0.0,100.0,55.29,0.0,84.375,96.29666666666667,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AT3TE54550,75.0,0,0,0,0,0,0,0.0,0.0,21.613333333333333,21.363333333333333,0.0,9.1275,2.7775,26.665,0.0,0.0,12.5,17.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8516666666666666,0.0,0.0,0.0,12.0,0.0,16.25,24.355,0.0,0.0,0.0,31.25,0.0,0.0,0.0,5.0,0.0,26.4575,0.0,28.335,8.5725,38.57,0.0,31.35,15.548000000000002,0.0,13.492,0.0,0.0,0.0,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0475,0.0,0.0,0.0,0,0.0,20.2,18.155,0.0,0.0,0.0,0.0,9.09,0.0,15.0,0.0,0.0,12.145,5.2075,0.0,1.785,6.25,0.0,16.665,0.0,0,0,0,22.275,0.0,0,55.02333333333333,0.0,0.0
AT3TE89830,0.0,0,0,0,0,0,0,0.0,0.0,74.76,33.332499999999996,0.0,49.1025,0.0,51.400000000000006,100.0,24.04,0.0,41.067499999999995,29.165,17.855,0.0,0.0,10.0,0.0,0.0,0.0,42.855000000000004,31.2425,0.0,0.0,73.81,33.845,0.0,14.285,0.0,0.0,0.0,0.0,55.385,0.0,0.0,5.0,34.473333333333336,0.0,9.09,25.0,58.215,38.269999999999996,40.0,0.0,68.125,31.026,42.59,37.5,63.335,0.0,0.0,30.39,0.0,61.11,37.285,0.0,0,0.0,0.0,28.3325,27.677500000000002,45.835,0.0,0,0.0,0.0,0.0,48.335,0.0,16.67,0.0,12.5,6.665,0.0,45.0,26.67,48.75,0.0,0.0,24.573333333333334,0.0,66.67,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,87.5
AT3TE92525,0.0,0,0,0,0,0,0,0.0,0.0,0.0,50.0,0.0,49.97,83.33500000000001,0.0,73.81,94.445,25.0,0.0,88.63666666666666,50.0,55.042500000000004,0.0,39.0775,0.0,61.905,41.665,100.0,0.0,0.0,0.0,0.0,0.0,34.0275,45.0,75.715,0.0,0.0,0.0,66.67,38.335,70.0,0.0,44.1275,0.0,60.0,0.0,62.87,48.678333333333335,64.285,18.75,0.0,52.22,46.43,74.1675,0.0,20.0,35.0,52.48666666666666,0.0,0.0,87.5,0.0,0,0.0,0.0,75.0,0.0,67.5,72.77666666666666,0,0.0,73.61,0.0,0.0,0.0,0.0,66.785,0.0,12.5,0.0,83.33500000000001,52.2225,0.0,52.085,83.33500000000001,83.4825,70.0,0.0,76.39,85.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AT5TE15240,18.75,0,0,0,0,0,0,0.0,0.0,0.0,90.0,0.0,0.0,63.593333333333334,0.0,64.575,0.0,66.7525,0.0,85.715,57.855000000000004,58.01666666666667,0.0,50.480000000000004,46.43,0.0,61.1875,94.445,0.0,0.0,0.0,0.0,0.0,7.145,74.62333333333333,61.1125,0.0,0.0,0.0,0.0,44.6425,78.89,0.0,30.5175,0.0,73.33500000000001,0.0,63.001666666666665,64.69250000000001,48.095,68.125,0.0,74.27333333333333,74.16499999999999,72.62,0.0,14.545,32.5,38.957499999999996,0.0,0.0,58.335,0.0,0,0.0,0.0,50.0,0.0,53.41,62.09,0,0.0,60.6475,0.0,0.0,0.0,40.625,0.0,0.0,55.68,0.0,60.416666666666664,75.0,66.67,79.465,71.075,0.0,73.14999999999999,0.0,75.04666666666667,83.53,0,0,0,0.0,0.0,0,0.0,0.0,0.0
